site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,orientation_of_transect,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,distance_from_shore (m),distance_from_nearest_river (km),distance_to_nearest_popn (km),errors,what_errors,year,date,depth (m),time_of_day_work_began,time_of_day_work_ended,method_used_to_determine_location (archived field),river_mouth_width,weather,air_temp (C),water_temp_at_surface (C),water_temp_at_3_m (C),water_temp_at_10_m (C),approx_popn_size_x_1000,horizontal_visibility_in_water (m),best_reef_area,why_was_this_site_selected,sheltered_or_exposed,any_major_storms_in_last_years,when_storms,overall_anthro_impact,what_kind_of_impacts (archived field),siltation,dynamite_fishing,poison_fishing,aquarium_fish_collection,harvest_of_inverts_for_food,harvest_of_inverts_for_curio,tourist_diving_snorkeling,sewage_pollution,industrial_pollution,commercial_fishing,live_food_fishing,artisinal_recreational,other_forms_of_fishing (archived field),other_fishing (archived field),yachts,level_of_other_impacts (archived field),other_impacts,is_site_protected,is_protection_enforced,level_of_poaching,spearfishing,banned_commercial_fishing,recreational_fishing,invertebrate_shell_collection,anchoring,diving,other_specify,nature_of_protection (archived field),site_comments,substrate_comments,fish_comments,inverts_comments,comments_from_organism_sheet (archived field),grouper_size (archived field),percent_bleaching (archived field),percent_colonies_bleached (archived field),percent_of_each_colony (archived field),suspected_disease (archived field),rare_animals_details,submitted_by (archived field)
6312b675-97ab-45a6-bed8-186baf180771,0031a175-372b-4f81-9dc2-859178d6293c,146.52.13.0E.19.8.54.0S,Magnetic Island Reefs - Alma Bay (Fringing reef leeward) Site 2,"","-19.148333, 146.870278",146,52,13.0,E,19,8,54.0,S,Australia,Queensland,"",Indo-Pacific,"","","","","",2019,28-September-19,5.0, 9:00 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"",did not record fish,"","","","","","","","",""
0ca26392-cab8-487d-8411-4ce5aec8c74e,007337a7-1182-4206-854d-7d141dfe9960,153.29.2.0E.26.56.4.0S,Hutchinsons Shoal - Hutchinson's Shoal (Back reef crest) Site 1,"","-26.934444, 153.483889",153,29,2.0,E,26,56,4.0,S,Australia,Queensland,"",Indo-Pacific,"","","",false,"",2009,05-July-09,11.0,10:00 am,11:00 am,Gps,"",Sunny,"","","","","",12.0,No,"Previously surveyed. One of three best reefs in the area. Exposed site, so only accessible in good weather. In fair weather it is a very popular site and visited by many recreational fishers.",Exposed,Yes,5-23-09,Low,"",Never,None,None,None,None,None,Low,None,None,None,None,Low,"","",Few,"","",false,"","","","","","","","","","","","","","","","","","","","0,0,1,0",0,""
aaf1e8c1-504c-47ae-9560-cb0794b4ce9f,00a799f7-95fe-45c8-a795-393eda498b3c,153.23.4.6E.27.31.3.7S,Goat Island - Goat Island (Fringing reef leeward) Site 1,"","-27.517694, 153.384611",153,23,4.6,E,27,31,3.7,S,Australia,"","",Indo-Pacific,"","","",true,no site description; did not record fish,2013,19-December-13,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","",0,0,""
3b5c54a7-66e1-4908-8e78-1342ccb9432a,00b93531-f296-4715-bb05-8b92215a53bf,145.48.25.0E.16.0.59.0S,Agincourt Reef - Phil's Reef (Back reef slope) Site2,"","-16.016389, 145.806944",145,48,25.0,E,16,0,59.0,S,Australia,Queensland,"",Indo-Pacific,"","","",true,did not record fish,2009,22-March-09,8.0,10:15 am,11:00 am,Gps,"",Cloudy,"","","","","",10.0,No,Dive boat mooring,Sheltered,No,"",Low,"",Never,None,None,None,None,None,Low,None,None,None,None,None,"","",Few,"","",true,Yes,None,Yes,Yes,Yes,Yes,No,No,"","","","","","","","","","","","1,0,1,1",0,""
6816ee22-9fdf-4f2f-97f7-dd0fab7c0145,00e57b27-ad68-4184-b8b5-5a92e98f5452,151.56.0.2E.23.26.3.5S,Heron Reef- Libby's Lair (Back reef slope) Site 1,"","-23.434306, 151.933389",151,56,0.2,E,23,26,3.5,S,Australia,"","",Indo-Pacific,"","","",true,did not record fish,2014,09-November-14,6.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",DA 1 = TADA 2 = turtle weedDA 3 = NIA,"","","","","","","","",""
8e0e6614-613d-407c-b841-0d5d32d6f0c1,0105eef7-c2fb-4583-ae47-fffe582dd88d,147.31.14.3E.18.47.52.5S,Wheeler Reef - Students Bommie (Back reef slope) Site 1,"","-18.797917, 147.520639",147,31,14.3,E,18,47,52.5,S,Australia,North Queensland,Townsville,Indo-Pacific,90650.0,90.65,90.65,true,"no site description, no fish survey",2017,08-July-17,8.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","","",""
aaf1e8c1-504c-47ae-9560-cb0794b4ce9f,016a79f1-ce3a-4fbf-b564-6c789495f0d4,153.23.4.6E.27.31.3.7S,Goat Island - Goat Island (Fringing reef leeward) Site 1,"","-27.517694, 153.384611",153,23,4.6,E,27,31,3.7,S,Australia,"","",Indo-Pacific,"","","",true,no site description; did not record fish,2013,20-January-13,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","",0,0,""
79b315c8-a398-45d7-b311-d8fafc2c19e9,01b90835-100d-47fc-b0e5-ae21de73ef57,152.49.31.0E.25.14.40.0S,ESA Park - ESA Park (Fringing reef seaward) Site 1,"","-25.244444, 152.825278",152,49,31.0,E,25,14,40.0,S,Australia,Queensland,"",Indo-Pacific,"","","",true,no site description or belt,2012,19-August-12,4.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","","",""
1bc6244e-5bc3-4be9-a40d-380b2a464551,01cc895c-2e1a-4ec5-98a6-9aae5a65a783,153.9.6.5E.26.38.6.7S,Inner Gneerings - The Caves (Other) Site 2,"","-26.635194, 153.151806",153,9,6.5,E,26,38,6.7,S,Australia,Queensland,"",Indo-Pacific,"","","",true,no site description,2013,18-August-13,9.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","1 drupella, 1 anemone","","","","","","",0,0,""
1bc6244e-5bc3-4be9-a40d-380b2a464551,01e606db-57e5-490b-8ec5-9f7be37d7f9c,153.9.6.5E.26.38.6.7S,Inner Gneerings - The Caves (Other) Site 2,"","-26.635194, 153.151806",153,9,6.5,E,26,38,6.7,S,Australia,Queensland,"",Indo-Pacific,"","","",true,did not record fish,2016,22-January-16,9.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","","",""
